Data,preco_soja_usd,petroleo_wti_usd,dxy_index,taxa_cambio_usd_brl,Precip_Brasil_Media_mm,Precip_EUA_Media_mm,ONI,cvol_proxy,imports_1000MT,Estoque_USA_MT,Estoque_Brasil_MT,Estoque_Argentina_MT
2005-06-01,651.75,56.5,89.11,2.3364,80.4,116.3,-0.223,132.47445823634234,2301.3816254416965,0.4224179620034543,2.4902973760932947,2.222657342657343
2005-07-01,671.75,60.57,89.35,2.38,67.4,102.7,0.387,131.96112557640436,2376.42667844523,0.4646597582037997,2.1224125364431488,1.8892587412587412
2005-08-01,586.75,68.94,87.58,2.3555,77.8,97.9,0.242,132.4003838510888,2626.576855123676,0.591385146804836,1.7828265306122453,1.55586013986014
2005-09-01,573.25,66.24,89.52,2.2275,114.1,83.8,0.571,132.179659384167,2801.681978798588,2.112089810017271,1.4715393586005832,1.2891412587412587
2005-10-01,564.75,59.76,90.07,2.2518,157.8,70.8,0.544,131.38754864989255,2876.72703180212,1.9431226252158893,1.1885510204081633,1.0446489510489512
2005-11-01,558.0,57.32,91.57,2.2035,170.6,60.2,0.123,131.6417483850915,2951.772084805654,1.7319136442141625,0.9338615160349856,0.8446097902097903
2005-12-01,602.0,61.04,91.17,2.3383,194.0,42.6,0.231,132.5316604313375,2751.651943462898,1.4784628670120896,0.7923673469387758,0.7112503496503496
2006-01-01,594.25,67.92,88.96,2.212,207.1,32.2,0.777,131.9196634813929,1903.224381625442,1.213756476683938,0.7815962099125365,0.9189650349650348
2006-02-01,580.25,61.41,90.11,2.1235,196.6,37.0,0.529,132.65688720516363,1827.095406360424,1.0249499136442144,1.094234693877551,1.072125874125874
2006-03-01,571.5,66.63,89.73,2.164,183.6,60.4,0.996,130.24139162631,1903.224381625442,0.8631157167530223,1.8758309037900875,1.5316083916083916
2006-04-01,587.25,71.88,86.11,2.087,160.2,85.0,-0.35,131.26106937746806,1979.35335689046,0.7282538860103627,2.657427113702624,2.297412587412587
2006-05-01,579.5,71.29,84.72,2.3051,106.3,109.5,0.083,124.21974941601466,2156.987632508834,0.6203644214162349,3.126384839650146,2.9100559440559435
2006-06-01,594.75,73.93,85.22,2.1659,80.4,116.3,0.093,117.83456214517348,2334.621908127209,0.5394473229706391,2.751218658892129,3.063216783216783
2006-07-01,579.5,74.4,85.3,2.1775,67.4,102.7,-0.054,116.26539637488176,2410.7508833922266,0.593392055267703,2.344788629737609,2.603734265734265
2006-08-01,542.25,70.26,85.05,2.1434,77.8,97.9,-0.001,115.026718917504,2664.5141342756187,0.7552262521588947,1.9696224489795924,2.144251748251748
2006-09-01,547.5,62.91,85.97,2.1743,114.1,83.8,-0.796,113.04733439021037,2842.1484098939936,2.6972366148531948,1.625720116618076,1.776665734265734
2006-10-01,630.25,58.73,85.32,2.1428,157.8,70.8,-0.645,118.87731409205855,2918.2773851590105,2.48145768566494,1.3130816326530612,1.439711888111888
2006-11-01,685.5,63.13,82.92,2.165,170.6,60.2,-0.309,114.26030012375588,2994.406360424028,2.21173402417962,1.031706997084548,1.1640223776223777
2006-12-01,683.5,61.05,83.72,2.1365,194.0,42.6,0.375,110.71718129763453,2791.395759717316,1.8880656303972363,0.875387755102041,0.9802293706293704
2007-01-01,719.5,58.14,84.61,2.124,207.1,32.2,0.055,110.90410273687424,2505.477031802121,0.4336787564766839,0.8260204081632653,0.8762937062937062
2007-02-01,773.25,61.79,83.57,2.1204,196.6,37.0,-0.285,109.24435813599392,2405.2579505300355,0.3662176165803109,1.1564285714285714,1.0223426573426573
